data_id,type,record_id,opentimestamps,numbers,avalanche,iscn,ipfs,filecoin,storj
C062,Primary,bafybeicsb2zqu56vy663q4c3zrs56tjiggtfu7oyusrrhmadvd5fmbhbvu,https://www.blockchain.com/explorer/blocks/btc/767727,https://mainnet.num.network/tx/0x5d0f77230f36b44249315f577dfeccac8a94a6c1ba8ef61004f8aed88b403e85,https://snowtrace.io/tx/0x54ac43e23901779d998527c889a56ea4a2932eba262378c76b0831446177f3b6,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FXSGnIPdtwCCHL1nDa2SJMP-RsyTjtA4GFbZeg_HzMuo%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Web Archive,bafybeigptlspcqixymsqvajeslp4xzyrpry73ffne5z45tm3cfmydgl2ua,https://www.blockchain.com/explorer/blocks/btc/767727,https://mainnet.num.network/tx/0x5d0f77230f36b44249315f577dfeccac8a94a6c1ba8ef61004f8aed88b403e85,https://snowtrace.io/tx/0x54ac43e23901779d998527c889a56ea4a2932eba262378c76b0831446177f3b6,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FXSGnIPdtwCCHL1nDa2SJMP-RsyTjtA4GFbZeg_HzMuo%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Caption,bafkreie4eexugmn74z24v7wrtykwhrkgw2iuqewiaj53t3kgeg3fpzb2ey,https://www.blockchain.com/explorer/blocks/btc/767727,https://mainnet.num.network/tx/0x5d0f77230f36b44249315f577dfeccac8a94a6c1ba8ef61004f8aed88b403e85,https://snowtrace.io/tx/0x54ac43e23901779d998527c889a56ea4a2932eba262378c76b0831446177f3b6,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FXSGnIPdtwCCHL1nDa2SJMP-RsyTjtA4GFbZeg_HzMuo%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
C019,Primary,bafybeih2lt5pjvoujp4si5ma2usnj55areq7kl4jwo4rlf6n66gjjde25u,https://www.blockchain.com/explorer/blocks/btc/767727,https://mainnet.num.network/tx/0xc96cda41aa61dc43c16700dbbd9c74d02061f6e7b4a2901ab484aa35a641a1a6,https://snowtrace.io/tx/0x520b4f0b4e08c043cba30f110604bb60a595fda45beca9f27344537cb278695f,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FR5DmPQHRi_1IbtDzaStGRL7VaMJjhnK-FFnGkM6DcrE%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Web Archive,bafybeigptlspcqixymsqvajeslp4xzyrpry73ffne5z45tm3cfmydgl2ua,https://www.blockchain.com/explorer/blocks/btc/767727,https://mainnet.num.network/tx/0xc96cda41aa61dc43c16700dbbd9c74d02061f6e7b4a2901ab484aa35a641a1a6,https://snowtrace.io/tx/0x520b4f0b4e08c043cba30f110604bb60a595fda45beca9f27344537cb278695f,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FR5DmPQHRi_1IbtDzaStGRL7VaMJjhnK-FFnGkM6DcrE%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Caption,bafkreigxlpwzpnadxqty4iwdwjevr4ultgelcbi45kfgwfzupqilsxvsqa,https://www.blockchain.com/explorer/blocks/btc/767727,https://mainnet.num.network/tx/0xc96cda41aa61dc43c16700dbbd9c74d02061f6e7b4a2901ab484aa35a641a1a6,https://snowtrace.io/tx/0x520b4f0b4e08c043cba30f110604bb60a595fda45beca9f27344537cb278695f,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FR5DmPQHRi_1IbtDzaStGRL7VaMJjhnK-FFnGkM6DcrE%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
C049-1408,Primary,bafkreial6e7wfcnmyccodaped5osfxl4en4gjk7tftxhkq267glzdbz4vu,https://www.blockchain.com/explorer/blocks/btc/767817,https://mainnet.num.network/tx/0x33fb2feda5e362883762a9617f2426fb437b2c3af45a41c94954fae0deeeff08,https://snowtrace.io/tx/0xc04998f9925701b1e90dc3f6b79bc925fd80d3ee2c2e63e030a79efc36712eaf,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FkX5ympdKna3g4UYALQCQ-KsSq8EdigKwi_oDYfn3-e0%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Web Archive,bafybeihqitr4uyft4cxyw74vzk5tnptosohkl7h64i2ekeszhjcuflofcq,https://www.blockchain.com/explorer/blocks/btc/767817,https://mainnet.num.network/tx/0x33fb2feda5e362883762a9617f2426fb437b2c3af45a41c94954fae0deeeff08,https://snowtrace.io/tx/0xc04998f9925701b1e90dc3f6b79bc925fd80d3ee2c2e63e030a79efc36712eaf,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FkX5ympdKna3g4UYALQCQ-KsSq8EdigKwi_oDYfn3-e0%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
,Caption,bafkreieopj3mzvm2pwwqtieilf7y25jrqkpuyypwbvzs6hcwxyeeecmv4u,https://www.blockchain.com/explorer/blocks/btc/767817,https://mainnet.num.network/tx/0x33fb2feda5e362883762a9617f2426fb437b2c3af45a41c94954fae0deeeff08,https://snowtrace.io/tx/0xc04998f9925701b1e90dc3f6b79bc925fd80d3ee2c2e63e030a79efc36712eaf,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FkX5ympdKna3g4UYALQCQ-KsSq8EdigKwi_oDYfn3-e0%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
C058,Primary,bafybeiav6xtssbyibxwdpury7xg45kdwemwtgbrfp7uezppfbfnhko2try,https://www.blockchain.com/explorer/blocks/btc/767727,https://mainnet.num.network/tx/0xe7b054abd2cf0aa7fa089149ed011444667c6eeab4b66f4294c01fe079bca368,https://snowtrace.io/tx/0x161755a1bc9ef2baf77fea772a685a4b4eb08694009a9a85afe221c9e83ede98,https://app.like.co/view/iscn%3A%2F%2Flikecoin-chain%2FcZE61O1dl927u1jdG-yrs-iPhuZ5Rzfhjew5L3qSW6c%2F1,,https://filecoin.tools/baga6ea4seaqfhl32tiwydchf45m5vjxlfszk2xk6budmsnlhpi3ooeqmivfsoiy,
