data_id,registration_filename,relatedAssetCid
P201,2aaf7611e23c265941fcc6c09e2c3c6bad7237d3f5519981476301e2367a768c.jpg,
P202,edbd17876c190863838f0cb41918218f1123e874ff5d981411049fdd660a3793.jpg,
P203,ae7488979ee6179e101bb639cfe7f21a79f5ada76fcfb5b842be11aaa75d1ef7.jpg,
P204,063ef6ad182d3b7b0b488b7a6cf9390e91a71993e819877dd505865eb9cfed59.jpg,
P205,435e5513bc79f9627c0c116406076c3653c18a1d44035cd4e60f19b004e41f65.jpg,
P206,91883cc2fcc9480dae6c5b6abf8c7d8b4491567b11bd1227369e398f96ce2ba3.jpg,
P221,2CP9KNF credit Reuters_Alamy.jpg,
P222,h_27.RTS9RNVD credit Sofiia Gatilova Reuters Redux.jpg,
P232,2E6EH72 credit Ognen Teofilovski_Reuters_Alamy.jpg,
P207,EOR0213001 credit Emmanuel Ortiz.jpg,
P214,Jorgen Samso - Clip0005.MXF,
P209a,5fe88f1914ea4a5eaef788a8aa2ab925413d8d9519953676ebc053f267f4e4d6.jpg,
P210,Untitled.jpg,
P211,Untitled 4.jpg,
P212,Untitled 3.jpg,
P213,Untitled 2.jpg,
P217,b78ea7b4b567d6d0e65a2e1ecc4f3de795878e89eca75d6a4e66b63f290d1f7d.jpg,
P218,837477a2677640ea1f2de669044d32f8d21ebbd7a97b6a5f9f4f1afa05d150ff.jpg,
P219,b0d195c593c149d0b6b087df0b26a348b3a558997995c6af63901f0322a2adc5.jpg,
P233,Screen Shot 2022-03-28 at 10.05.19 PM.png,
P209b,f8c6bac82cbf97f4d89990357701bd9b84ffce37d602ac1aa90dd0df7f3fea38.jpg,
P220,,
P220a,,
P220b,,
P220c,,
P220d,,
P208,,
P234,,
P215,,
P231,,
P223,,
P224,,
P225,,
P226,,
P227,,
P228,,
P229,,
P230,,
P234,,
P220e,,
P220f,bc1ae4afc334d74a67925ddcd8c96b1f5ccc99dfc3a8f519cac166969f5dafa3.jpg,
P220g,d7859627e83a8517240841aecf595f29912007f4fda043c1d46a320b52d1f280.jpg,
C049-1385,MRA22591R0000401246_Page_1385.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
C049-0652,MRA22591R0000401246_Page_0652.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
C049-0879,MRA22591R0000401246_Page_0879.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
C049-1154,MRA22591R0000401246_Page_1154.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
C049-1155,MRA22591R0000401246_Page_1155.png,bafybeiapv3jcyh74fwuttudyvg2amfrgnfzjq2fg32w5jghvjytxgvugim
